years_in_business,applicant_age,monthly_salary,existing_loans,loan_amount_requested,collateral_value,approved_status,approved_amount
7,31,9995,1,108670.66809383169,161919.0,1,77590.85701899581
15,23,2880,1,33686.000840175155,60480.0,1,25938.220646934864
11,35,5276,1,49411.39484602422,98133.6,1,36663.25497574997
8,40,5230,0,41037.19500368422,87864.0,1,31024.11942278527
7,28,6303,0,39611.77149608497,102108.6,1,29669.21685056764
19,24,11409,3,88805.51279076631,266970.6,1,64650.413311677876
11,22,7258,2,71167.34857900382,134998.80000000002,1,50315.3154453557
11,44,9959,1,85487.05395727656,185237.4,1,63431.39403629921
4,34,11308,1,114443.88151702294,162835.19999999998,0,0.0
8,59,12285,0,118646.22365885592,206388.0,1,89696.54508609507
3,31,10233,0,81961.12722086965,141215.4,0,0.0
2,56,14408,1,169558.62565550106,190185.6,0,0.0
12,52,11065,1,72806.06974427498,212448.0,1,54531.746238461965
6,54,9430,4,93530.24513828335,147108.0,0,0.0
2,45,5759,3,57037.27521120587,76018.8,0,0.0
1,34,6735,1,43771.01385277385,84861.0,0,0.0
12,55,10848,4,70120.22500015615,208281.6,1,45157.42490010057
12,40,6349,1,48859.17615075882,121900.8,1,36595.522936918365
17,41,7958,2,54299.03722888294,176667.6,1,40669.97888443331
10,24,5394,4,41017.820510248224,97092.0,0,0.0
16,40,10382,0,91517.48058109975,224251.2,1,74312.19423185299
15,52,11505,3,96863.27365844183,241605.0,1,67804.29156090926
15,40,14897,0,114792.51790221616,312837.0,1,92407.976911284
19,63,8708,2,56664.81322145988,203767.19999999998,1,43235.25248797388
12,48,7044,2,73528.70743327383,135244.80000000002,1,52499.49710735751
3,32,10855,1,124005.14342465704,149799.0,0,0.0
5,61,11966,2,115488.48444045833,179490.0,0,0.0
19,32,10246,2,70644.07105895634,239756.4,1,53901.42621798367
7,38,6436,3,55224.45389385843,104263.20000000001,0,0.0
9,55,7855,4,90931.14137801982,136677.0,0,0.0
7,30,13866,3,127491.8572213505,224629.2,1,82104.75605054972
18,60,7133,4,65527.50324240367,162632.4,1,44951.867224288915
4,63,2653,4,18507.366084843008,38203.2,0,0.0
14,44,7754,1,80753.95978768123,158181.6,1,61615.271318000785
18,29,4296,4,32656.811131526258,97948.79999999999,1,22402.57243622701
9,34,9794,1,73036.21149831153,170415.6,1,53170.3619707708
2,55,9226,4,64149.999640059315,121783.20000000001,0,0.0
15,63,8233,0,70316.97658475112,172893.0,1,56605.16615072464
7,38,14506,1,125446.8821465853,234997.2,1,89569.0738526619
12,59,7176,0,53541.41962494929,137779.2,1,41976.472985960245
8,36,13923,1,143983.14776355296,233906.4,1,103811.84953752167
15,52,3282,3,37439.06778382421,68922.0,1,26207.347448676945
3,24,10778,0,94507.54494536882,148736.4,0,0.0
14,56,9557,3,76882.39066987809,194962.8,1,53279.49673422552
17,57,6150,1,59569.55314372052,136530.0,1,46702.529664676884
4,26,3088,1,32370.661783481293,44467.2,0,0.0
18,47,3008,3,23148.36058066057,68582.4,1,16689.967978656266
8,47,12143,4,97529.88555250208,204002.4,1,60078.40950034128
4,45,14170,3,161878.43302355194,204048.0,0,0.0
2,27,12494,0,100288.57935404709,164920.80000000002,0,0.0
6,28,11028,1,78029.36102729727,172036.80000000002,1,55166.75824629917
10,49,2007,2,14567.044980711707,36126.0,0,0.0
4,35,14885,1,112602.00681976517,214344.0,1,78033.19072609727
18,60,13186,2,102645.74151497497,300640.8,1,77600.18058532107
12,42,14524,3,170711.045793489,278860.8,1,115912.80009377903
2,32,14477,0,103557.61806031082,191096.40000000002,1,73940.13929506193
10,33,4914,3,49928.38386139724,88452.0,0,0.0
4,55,5424,4,57163.25960117347,78105.59999999999,0,0.0
14,56,11944,1,118260.8675356561,243657.6,1,90233.0419297056
16,28,11491,2,101456.2754591123,248205.6,1,75280.5563906613
15,44,7860,3,85243.87902868247,165060.0,1,59670.71532007772
8,22,12067,2,113006.13498612374,202725.59999999998,1,77522.2086004809
14,41,14675,0,118966.50313374143,299370.0,1,94935.26950072566
8,53,14309,1,108411.57615096877,240391.19999999998,1,78164.74640484848
16,55,11163,1,91816.91706531364,241120.80000000002,1,71341.74455974868
13,41,13922,0,117463.79299498751,275655.6,1,92913.8602590351
18,35,2444,0,22233.055784751952,55723.2,1,18364.50407820511
15,26,9357,1,60168.311558473615,196497.0,1,46329.599900024674
13,45,4422,1,29787.857714115253,87555.59999999999,1,22519.620431871124
9,42,14375,1,170123.4449779912,250125.0,1,123849.86794397759
15,33,6845,0,74981.16869319709,143745.0,1,60359.84079802365
13,23,8435,1,90490.78545981337,167013.0,1,68411.0338076189
1,31,6255,0,42642.30765787848,78813.0,0,0.0
7,34,3388,4,20432.32360318357,54885.600000000006,0,0.0
9,52,12852,3,118972.54743637188,223624.8,1,78283.93621313269
1,45,13211,3,155038.67260019062,166458.6,0,0.0
12,47,6242,0,70604.23420769331,119846.40000000001,1,55353.71961883156
8,54,13286,3,151140.09568474803,223204.8,1,98392.20229077096
11,62,5476,1,42245.52034365496,101853.6,1,31346.176094991977
19,45,14587,1,174115.06873778944,341335.8,1,138943.82485275596
17,22,4943,3,53664.35912219063,109734.6,1,38316.35241324411
8,30,12370,0,137233.74314821514,207816.0,1,103748.70982005066
3,52,11345,2,89614.85010139552,156561.0,0,0.0
